lat_strength,condition,delta_lim,entropy,switching,entropy_plus_switching,q_error
normal,Normal,no_limit,0.10692340743927965,0.05656146179401993,0.09181482374570175,0.07635271927137172
0.0275,PD,0.1,0.5118426084518433,0.31913623213768005,0.4540306627750397,0.11737055331468582
0.0275,sDBS,0.1,0.5489715933799744,0.36343851685523987,0.49331167340278625,0.11661730706691742
0.0275,Sector DBS,0.1,0.5829174518585205,0.3913455307483673,0.525445818901062,0.11506545543670654
0.0275,PD,0.2,0.015319284982979298,0.004659468773752451,0.01212134025990963,0.09234202653169632
0.0275,sDBS,0.2,0.01774859055876732,0.006453488487750292,0.01436005998402834,0.09229373931884766
0.0275,Sector DBS,0.2,0.10679663717746735,0.06089701130986214,0.09302675724029541,0.09196020662784576
0.0275,PD,0.5,0.013313726522028446,0.003729236079379916,0.01043837983161211,0.09164927154779434
0.0275,sDBS,0.5,0.013818696141242981,0.004377076402306557,0.010986207984387875,0.09213380515575409
0.0275,Sector DBS,0.5,0.11113088577985764,0.05702657997608185,0.09489959478378296,0.07277432084083557
0.0275,PD,1.0,0.01482829824090004,0.003953489009290934,0.011565854772925377,0.09243585914373398
0.0275,sDBS,1.0,0.02074003405869007,0.007001661695539951,0.016618523746728897,0.09228719025850296
0.0275,Sector DBS,1.0,0.11164676398038864,0.057524923235177994,0.09541020542383194,0.07293905317783356
0.0325,PD,0.1,0.5164377093315125,0.324900358915329,0.45897650718688965,0.11702779680490494
0.0325,sDBS,0.1,0.5456632971763611,0.34964287281036377,0.48685717582702637,0.117294542491436
0.0325,Sector DBS,0.1,0.605804443359375,0.406902015209198,0.5461337566375732,0.11566279083490372
0.0325,PD,0.2,0.017144031822681427,0.004285714123398066,0.013286535628139973,0.0927254855632782
0.0325,sDBS,0.2,0.02098582684993744,0.007225912995636463,0.016857855021953583,0.09241759032011032
0.0325,Sector DBS,0.2,0.09587638825178146,0.05724252387881279,0.08428622037172318,0.09122614562511444
0.0325,PD,0.5,0.01894870214164257,0.005797342862933874,0.015003292821347713,0.09178165346384048
0.0325,sDBS,0.5,0.01713954471051693,0.0055647846311330795,0.013667117804288864,0.09250936657190323
0.0325,Sector DBS,0.5,0.10847394913434982,0.059111300855875015,0.09366515278816223,0.0737968236207962
0.0325,PD,1.0,0.017403632402420044,0.005058139096945524,0.01369998324662447,0.09233865886926651
0.0325,sDBS,1.0,0.022283270955085754,0.00830564834177494,0.018089985474944115,0.09258411079645157
0.0325,Sector DBS,1.0,0.10550809651613235,0.05526578426361084,0.09043539315462112,0.07476574927568436
0.0375,PD,0.1,0.5105686783790588,0.32402825355529785,0.4546065330505371,0.11656511574983597
0.0375,sDBS,0.1,0.52366703748703,0.3362458348274231,0.46744072437286377,0.1156553104519844
0.0375,Sector DBS,0.1,0.5825654864311218,0.3908388912677765,0.5250475406646729,0.11549333482980728
0.0375,PD,0.2,0.01221083477139473,0.0032308970112353563,0.009516853839159012,0.0922154113650322
0.0375,sDBS,0.2,0.016050133854150772,0.005664451513439417,0.012934430502355099,0.09248135983943939
0.0375,Sector DBS,0.2,0.09969058632850647,0.059509970247745514,0.08763639628887177,0.0922497808933258
0.0375,PD,0.5,0.014409861527383327,0.004086378961801529,0.011312817223370075,0.09243328869342804
0.0375,sDBS,0.5,0.013144409283995628,0.0045016612857580185,0.010551584884524345,0.09177840501070023
0.0375,Sector DBS,0.5,0.1033262312412262,0.05419435352087021,0.08858666568994522,0.07672060281038284
0.0375,PD,1.0,0.015310322865843773,0.003662790870293975,0.011816063895821571,0.09239882975816727
0.0375,sDBS,1.0,0.01943841204047203,0.007375414948910475,0.01581951230764389,0.09253352135419846
0.0375,Sector DBS,1.0,0.1110106036067009,0.05838870629668236,0.09522402286529541,0.0738634243607521
0.0425,PD,0.1,0.49629127979278564,0.30751660466194153,0.43965888023376465,0.11680173128843307
0.0425,sDBS,0.1,0.49238860607147217,0.32123756408691406,0.44104331731796265,0.1156194731593132
0.0425,Sector DBS,0.1,0.6187271475791931,0.42514121532440186,0.5606513619422913,0.11516014486551285
0.0425,PD,0.2,0.015897028148174286,0.003887043334543705,0.012294032610952854,0.09252633154392242
